C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Alternative\Crystal Fighters - You & I.mp3	Crystal Fighters	You & I
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Alternative\Editors - A Ton of Love.mp3	Editors	A Ton of Love
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Alternative\Fitz & The Tantrums - Out of My League.mp3	Fitz & The Tantrums	Out of My League
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Alternative\Foals - Late Night.mp3	Foals	Late Night
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Alternative\Gin Wigmore - Black Sheep.mp3	Gin Wigmore	Black Sheep
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Alternative\Grouplove - Ways To Go.mp3	Grouplove	Ways To Go
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Alternative\Half Moon Run - Call Me In the Afternoon.mp3	Half Moon Run	Call Me In the Afternoon
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Alternative\Iron & Wine - Grace for Saints and Ramblers.mp3	Iron & Wine	Grace for Saints and Ramblers
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Alternative\Jake Bugg - Seen It All.mp3	Jake Bugg	Seen It All
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Alternative\Noah & The Whale - There Will Come a Time.mp3	Noah & The Whale	There Will Come a Time
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Alternative\Tegan and Sara - I Was a Fool.mp3	Tegan and Sara	I Was a Fool
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Alternative\The 1975 - Chocolate.mp3	The 1975	Chocolate
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Alternative\The Killers - Flesh and Bone.mp3	The Killers	Flesh and Bone
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Alternative\The Lumineers - Stubborn Love.mp3	The Lumineers	Stubborn Love
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Alternative\Vampire Weekend - Diane Young.mp3	Vampire Weekend	Diane Young
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Broadway\Alan Campbell - Sunset Boulevard.mp3	Alan Campbell	Sunset Boulevard
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Broadway\Barbra Streisand - As If We Never Said Goodbye.mp3	Barbra Streisand	As If We Never Said Goodbye
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Broadway\Betty Buckley - Memory.mp3	Betty Buckley	Memory
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Broadway\By Jeeves Original London Cast - By Jeeves.mp3	By Jeeves Original London Cast	By Jeeves
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Broadway\Cats Original Broadway Cast - Mr. Mistoffelees.mp3	Cats Original Broadway Cast	Mr. Mistoffelees
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Broadway\Donny Osmond - Close Every Door.mp3	Donny Osmond	Close Every Door
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Broadway\Glenn Close - With One Look.mp3	Glenn Close	With One Look
"C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Broadway\Mandy Patinkin & Patti Lupone - High Flying, Adored.mp3"	Mandy Patinkin & Patti Lupone	"High Flying, Adored"
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Broadway\Michael Ball - Love Changes Everything.mp3	Michael Ball	Love Changes Everything
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Broadway\Michael Crawford & Sarah Brigh - The Phantom Of The Opera.mp3	Michael Crawford & Sarah Brigh	The Phantom Of The Opera
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Broadway\Michael Damian - Any Dream Will Do.mp3	Michael Damian	Any Dream Will Do
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Broadway\Murray Head - Superstar.mp3	Murray Head	Superstar
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Broadway\Sarah Brightman & Paul Miles K - Pie Jesu.mp3	Sarah Brightman & Paul Miles K	Pie Jesu
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Broadway\Sarah Brightman - Don't Cry For Me Argentina.mp3	Sarah Brightman	Don't Cry For Me Argentina
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Broadway\Yvonne Elliman - I Don't Know How To Love Him.mp3	Yvonne Elliman	I Don't Know How To Love Him
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Children's\Kidz Bop Kids - 22.mp3	Kidz Bop Kids	22
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Children's\Kidz Bop Kids - Beauty and a Beat.mp3	Kidz Bop Kids	Beauty and a Beat
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Children's\Kidz Bop Kids - Come & Get It.mp3	Kidz Bop Kids	Come & Get It
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Children's\Kidz Bop Kids - Don't Stop the Party.mp3	Kidz Bop Kids	Don't Stop the Party
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Children's\Kidz Bop Kids - Feel This Moment.mp3	Kidz Bop Kids	Feel This Moment
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Children's\Kidz Bop Kids - Girl on Fire.mp3	Kidz Bop Kids	Girl on Fire
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Children's\Kidz Bop Kids - Heart Attack.mp3	Kidz Bop Kids	Heart Attack
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Children's\Kidz Bop Kids - Ho Hey.mp3	Kidz Bop Kids	Ho Hey
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Children's\Kidz Bop Kids - I Love It.mp3	Kidz Bop Kids	I Love It
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Children's\Kidz Bop Kids - It's Time.mp3	Kidz Bop Kids	It's Time
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Children's\Kidz Bop Kids - Just Give Me a Reason.mp3	Kidz Bop Kids	Just Give Me a Reason
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Children's\Kidz Bop Kids - Mirrors.mp3	Kidz Bop Kids	Mirrors
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Children's\Kidz Bop Kids - Scream & Shout.mp3	Kidz Bop Kids	Scream & Shout
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Children's\Kidz Bop Kids - Suit & Tie .mp3	Kidz Bop Kids	Suit & Tie 
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Children's\Kidz Bop Kids - Thrift Shop.mp3	Kidz Bop Kids	Thrift Shop
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classic Pop\A-Ha - Take On Me.mp3	A-Ha	Take On Me
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classic Pop\ABBA - Dancing Queen.mp3	ABBA	Dancing Queen
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classic Pop\Ace of Base - The Sign.mp3	Ace of Base	The Sign
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classic Pop\Belinda Carlisle - Heaven Is A Place On Earth.mp3	Belinda Carlisle	Heaven Is A Place On Earth
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classic Pop\Culture Club - Karma Chameleon.mp3	Culture Club	Karma Chameleon
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classic Pop\Cyndi Lauper - Time After Time.mp3	Cyndi Lauper	Time After Time
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classic Pop\Duran Duran - The Reflex.mp3	Duran Duran	The Reflex
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classic Pop\Eurythmics - There Must Be An Angel (Playing With My Heart).mp3	Eurythmics	There Must Be An Angel (Playing With My Heart)
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classic Pop\Pet Shop Boys - Always On My Mind.mp3	Pet Shop Boys	Always On My Mind
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classic Pop\Prince - When Doves Cry.mp3	Prince	When Doves Cry
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classic Pop\Roxette - Joyride.mp3	Roxette	Joyride
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classic Pop\Sade - Smooth Operator.mp3	Sade	Smooth Operator
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classic Pop\Sinéad O'Connor - Nothing Compares 2 U.mp3	Sinéad O'Connor	Nothing Compares 2 U
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classic Pop\Soft Cell - Tainted Love.mp3	Soft Cell	Tainted Love
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classic Pop\Tina Arena - Chains.mp3	Tina Arena	Chains
"C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\Aleksandra Kurzak, Sinfonia Varsovia & Pier Giorgio Morandi - Tancredi, Act II Gran Dio! Deh.mp3"	"Aleksandra Kurzak, Sinfonia Varsovia & Pier Giorgio Morandi"	"Tancredi, Act II Gran Dio! Deh"
"C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\Bach - Brandenburg Concertos No. 2 in F, BWV 1076 1. (Allegro).mp3"	Bach	"Brandenburg Concertos No. 2 in F, BWV 1076 1. (Allegro)"
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\Beethoven - Piano Sonata No. 8 in C minor Pathetique Adagio cantabile.mp3	Beethoven	Piano Sonata No. 8 in C minor Pathetique Adagio cantabile
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\Brahms - Hungarian Dance 5 in G minor.mp3	Brahms	Hungarian Dance 5 in G minor
"C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\Chopin - Polonaise No. 3 in A, Op. 40 No. 1 Military.mp3"	Chopin	"Polonaise No. 3 in A, Op. 40 No. 1 Military"
"C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\Danny Driver & Chloë Hanslip - Suite in D Minor, Op. 28 IV. Finale. Allegro con spirito.mp3"	Danny Driver & Chloë Hanslip	"Suite in D Minor, Op. 28 IV. Finale. Allegro con spirito"
"C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\Julia Fischer - Violin Concerto in A Minor, Op. 53 III. Finale (Allegro giocoso, ma non troppo).mp3"	Julia Fischer	"Violin Concerto in A Minor, Op. 53 III. Finale (Allegro giocoso, ma non troppo)"
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\London Symphony Orchestra & Sir Colin Davis - Grande Messe des morts I. Requiem et Kyrie (Live).mp3	London Symphony Orchestra & Sir Colin Davis	Grande Messe des morts I. Requiem et Kyrie (Live)
"C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\Philippe Herreweghe & Royal Flemish Philharmonic - Stabat Mater, Op. 58 II. Quis est homo.mp3"	Philippe Herreweghe & Royal Flemish Philharmonic	"Stabat Mater, Op. 58 II. Quis est homo"
"C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\Prokofiev - Romeo and Juliet, Op. 64. Act I 13. Dance of the Knights.mp3"	Prokofiev	"Romeo and Juliet, Op. 64. Act I 13. Dance of the Knights"
"C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\Rachmaninov - Rhapsody on a Theme by Paganini, Op. 43 Variation 11, 12, 13, 14, 15, 16,17, 18..mp3"	Rachmaninov	"Rhapsody on a Theme by Paganini, Op. 43 Variation 11, 12, 13, 14, 15, 16,17, 18."
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\Ravel - Boléro.mp3	Ravel	Boléro
"C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\Robin Ticciati, Scottish Chamber Orchestra & Karen Cargill - La mort de Cléopâtre Scene lyrique.mp3"	"Robin Ticciati, Scottish Chamber Orchestra & Karen Cargill"	La mort de Cléopâtre Scene lyrique
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\Rossini - The Barber of Seville Largo al factotum.mp3	Rossini	The Barber of Seville Largo al factotum
"C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Classical\Vivica Genaux, Cappella Gabetta & Andrés Gabetta - Alessandro, HWV 21 Lusinghe più care.mp3"	"Vivica Genaux, Cappella Gabetta & Andrés Gabetta"	"Alessandro, HWV 21 Lusinghe più care"
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Country\Aoife O'Donovan - Red & White & Blue & Gold.mp3	Aoife O'Donovan	Red & White & Blue & Gold
